Date;Open;High;Low;Close;Volume
Monday, April 27, 2020;18.75;18.75;18.75;18.75;--
Friday, April 24, 2020;18.58;18.58;18.58;18.58;--
Thursday, April 23, 2020;18.30;18.30;18.30;18.30;--
Wednesday, April 22, 2020;18.32;18.32;18.32;18.32;--
Tuesday, April 21, 2020;17.64;17.64;17.64;17.64;--
Monday, April 20, 2020;18.36;18.36;18.36;18.36;--
Friday, April 17, 2020;18.47;18.47;18.47;18.47;--
Thursday, April 16, 2020;18.22;18.22;18.22;18.22;--
Wednesday, April 15, 2020;17.88;17.88;17.88;17.88;--
Tuesday, April 14, 2020;17.95;17.95;17.95;17.95;--
Monday, April 13, 2020;17.39;17.39;17.39;17.39;--
Thursday, April 09, 2020;17.25;17.25;17.25;17.25;--
Wednesday, April 08, 2020;17.34;17.34;17.34;17.34;--
Tuesday, April 07, 2020;16.69;16.69;16.69;16.69;--
Monday, April 06, 2020;16.97;16.97;16.97;16.97;--
Friday, April 03, 2020;15.73;15.73;15.73;15.73;--
Thursday, April 02, 2020;15.92;15.92;15.92;15.92;--
Wednesday, April 01, 2020;15.73;15.73;15.73;15.73;--
Tuesday, March 31, 2020;16.32;16.32;16.32;16.32;--
Monday, March 30, 2020;16.52;16.52;16.52;16.52;--
Friday, March 27, 2020;15.89;15.89;15.89;15.89;--
Thursday, March 26, 2020;16.70;16.70;16.70;16.70;--
Wednesday, March 25, 2020;16.14;16.14;16.14;16.14;--
Tuesday, March 24, 2020;16.36;16.36;16.36;16.36;--
Monday, March 23, 2020;15.20;15.20;15.20;15.20;--
Friday, March 20, 2020;15.28;15.28;15.28;15.28;--
Thursday, March 19, 2020;15.62;15.62;15.62;15.62;--
Wednesday, March 18, 2020;14.88;14.88;14.88;14.88;--
Tuesday, March 17, 2020;15.47;15.47;15.47;15.47;--
Monday, March 16, 2020;14.37;14.37;14.37;14.37;--
Friday, March 13, 2020;16.45;16.45;16.45;16.45;--
Thursday, March 12, 2020;15.05;15.05;15.05;15.05;--
Wednesday, March 11, 2020;16.34;16.34;16.34;16.34;--
Tuesday, March 10, 2020;17.09;17.09;17.09;17.09;--
Monday, March 09, 2020;16.05;16.05;16.05;16.05;--
Friday, March 06, 2020;17.51;17.51;17.51;17.51;--
Thursday, March 05, 2020;18.08;18.08;18.08;18.08;--
Wednesday, March 04, 2020;18.69;18.69;18.69;18.69;--
Tuesday, March 03, 2020;17.96;17.96;17.96;17.96;--
Monday, March 02, 2020;18.59;18.59;18.59;18.59;--
Friday, February 28, 2020;18.13;18.13;18.13;18.13;--
Thursday, February 27, 2020;18.03;18.03;18.03;18.03;--
Wednesday, February 26, 2020;18.94;18.94;18.94;18.94;--
Tuesday, February 25, 2020;18.89;18.89;18.89;18.89;--
Monday, February 24, 2020;19.39;19.39;19.39;19.39;--
Friday, February 21, 2020;20.11;20.11;20.11;20.11;--
Thursday, February 20, 2020;20.68;20.68;20.68;20.68;--
Wednesday, February 19, 2020;20.85;20.85;20.85;20.85;--
Tuesday, February 18, 2020;20.65;20.65;20.65;20.65;--
Monday, February 17, 2020;20.64;20.64;20.64;20.64;--
Friday, February 14, 2020;20.63;20.63;20.63;20.63;--
Thursday, February 13, 2020;20.52;20.52;20.52;20.52;--
Wednesday, February 12, 2020;20.43;20.43;20.43;20.43;--
Tuesday, February 11, 2020;20.09;20.09;20.09;20.09;--
Monday, February 10, 2020;20.03;20.03;20.03;20.03;--
Friday, February 07, 2020;19.72;19.72;19.72;19.72;--
Thursday, February 06, 2020;19.72;19.72;19.72;19.72;--
Wednesday, February 05, 2020;19.64;19.64;19.64;19.64;--
Tuesday, February 04, 2020;19.67;19.67;19.67;19.67;--
Monday, February 03, 2020;19.13;19.13;19.13;19.13;--
Friday, January 31, 2020;18.79;18.79;18.79;18.79;--
Thursday, January 30, 2020;19.25;19.25;19.25;19.25;--
Wednesday, January 29, 2020;19.18;19.18;19.18;19.18;--
Tuesday, January 28, 2020;19.16;19.16;19.16;19.16;--
Monday, January 27, 2020;18.85;18.85;18.85;18.85;--
Friday, January 24, 2020;19.24;19.24;19.24;19.24;--
Thursday, January 23, 2020;19.31;19.31;19.31;19.31;--
Wednesday, January 22, 2020;19.19;19.19;19.19;19.19;--
Tuesday, January 21, 2020;19.16;19.16;19.16;19.16;--
Monday, January 20, 2020;19.17;19.17;19.17;19.17;--
Friday, January 17, 2020;19.18;19.18;19.18;19.18;--
Thursday, January 16, 2020;19.04;19.04;19.04;19.04;--
Wednesday, January 15, 2020;18.83;18.83;18.83;18.83;--
Tuesday, January 14, 2020;18.88;18.88;18.88;18.88;--
Monday, January 13, 2020;18.96;18.96;18.96;18.96;--
Friday, January 10, 2020;18.74;18.74;18.74;18.74;--
Thursday, January 09, 2020;18.77;18.77;18.77;18.77;--
Wednesday, January 08, 2020;18.58;18.58;18.58;18.58;--
Tuesday, January 07, 2020;18.36;18.36;18.36;18.36;--
Monday, January 06, 2020;18.20;18.20;18.20;18.20;--
Friday, January 03, 2020;18.18;18.18;18.18;18.18;--
Thursday, January 02, 2020;18.30;18.30;18.30;18.30;--
Tuesday, December 31, 2019;17.86;17.86;17.86;17.86;--
Monday, December 30, 2019;17.84;17.84;17.84;17.84;--
Friday, December 27, 2019;18.05;18.05;18.05;18.05;--
Thursday, December 26, 2019;18.18;18.18;18.18;18.18;--
Tuesday, December 24, 2019;18.08;18.08;18.08;18.08;--
